Type,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic watches at 95%,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post consumers by type - link clicks,Lifetime Post consumers by type - other clicks,Lifetime Post consumers by type - photo view,Lifetime Post Consumptions by type - link clicks,Lifetime Post Consumptions by type - other clicks,Lifetime Post Consumptions by type - photo view
Photo,2291,2291,0,3516,3516,0,66,36,52,0,0,2475,1474,0,0,64,0,1,38,,1,38,,19,20,4,21,27,4
Photo,158,158,0,228,228,0,383,307,544,0,0,0,0,0,0,205,,6,83,7,6,85,10,,,307,,,544
Photo,4203,4203,0,7377,7377,0,262,150,222,0,0,5152,2946,0,0,196,,8,131,34,9,130,35,25,70,67,26,102,94
Link,3996,3996,0,6974,6974,0,123,58,64,0,0,3714,1967,0,0,101,0,2,71,21,2,70,21,43,17,,44,20,
Photo,2847,2847,0,5031,5031,0,156,95,139,1,1,3544,1862,0,0,109,,5,66,16,6,66,16,18,23,62,19,37,83
Photo,2514,2514,0,4171,4171,0,126,83,116,0,0,2113,1074,0,0,72,,,42,12,,44,13,6,7,71,6,13,97
Photo,5873,5873,0,10310,10310,0,466,368,656,1,1,7220,3684,0,0,378,,9,134,43,12,137,47,112,129,226,116,214,326
Photo,2738,2738,0,3774,3774,0,38,11,14,0,0,1700,914,0,0,35,0,2,26,,2,27,,3,7,3,3,8,3
Link,6761,6761,0,11497,11497,0,203,111,144,3,3,5921,3314,0,0,184,0,6,105,33,11,104,35,61,60,,69,75,
Link,38054,38054,0,66685,66685,0,1386,846,1096,9,9,28199,15357,0,0,890,0,29,687,155,34,684,160,592,347,1,626,469,1
Link,7422,7422,0,12315,12315,0,147,113,138,2,2,9807,5593,0,0,142,0,4,46,,4,46,,60,57,,60,78,
Link,8029,8029,0,13618,13618,0,285,187,239,0,0,6732,3696,0,0,237,0,5,112,37,5,116,41,150,51,1,166,72,1
Photo,4097,4097,0,6088,6088,0,183,128,203,0,0,3462,2041,0,0,138,,4,70,23,4,70,23,8,28,101,8,40,155
Link,7701,7701,0,13432,13432,0,381,306,339,2,2,5224,3028,0,0,242,0,5,88,22,5,89,23,277,38,1,288,50,1
Photo,0,0,0,0,0,0,206,180,284,0,0,0,0,0,0,97,,2,26,3,5,28,3,,,180,,,284
Photo,3154,3154,0,4841,4841,0,130,85,119,1,1,2117,1162,0,0,90,,,50,9,,50,9,14,11,65,15,14,90
Photo,13297,13297,0,21023,21023,0,1483,1122,1724,3,3,15970,9318,0,0,1368,0,20,548,,25,543,,199,917,216,220,1272,232
Photo,2369,2369,0,3488,3488,0,120,84,125,1,1,1986,1168,0,0,90,,1,40,8,1,40,8,8,20,60,8,29,88
Link,15136,15136,0,26727,26727,0,479,306,403,2,2,15313,8200,0,0,374,0,9,205,42,13,204,47,199,127,1,221,181,1
Photo,2264,2264,0,3775,3775,0,111,78,118,1,1,2371,1316,0,0,77,,2,34,17,2,36,20,12,11,57,12,16,90
Photo,1867,1867,0,2904,2904,0,107,76,124,2,2,1773,1053,0,0,75,,5,32,11,5,33,11,6,17,57,7,30,87
Photo,4324,4324,0,7099,7099,0,210,124,187,0,0,4135,2389,0,0,159,,2,106,30,2,105,32,32,37,66,33,54,100
Link,13490,13490,0,23175,23175,0,330,159,215,4,6,14278,7830,0,0,253,0,6,195,44,10,199,46,85,88,1,86,128,1
Link,4946,4946,0,7686,7686,0,108,58,75,2,2,4053,2304,0,0,99,0,1,57,20,1,56,20,36,25,,39,36,
Photo,3493,3493,0,4949,4949,0,125,78,118,1,2,2178,1260,0,0,82,,4,53,13,6,53,14,7,22,57,8,29,81
Link,31198,31198,0,55153,55153,0,1264,980,1176,7,7,31664,17355,0,0,974,0,18,368,113,19,376,113,801,239,,855,321,
Photo,2946,2946,0,4025,4025,0,86,60,88,1,1,1733,963,0,0,56,,2,24,5,2,24,5,2,9,52,2,11,75
Photo,6723,6723,0,10514,10514,0,224,151,196,3,3,6589,3566,0,0,168,,5,82,26,5,83,27,55,39,72,57,49,90
Link,7644,7644,0,12348,12348,0,148,71,102,2,2,7852,4307,0,0,131,0,3,84,16,3,85,16,46,31,,55,47,
Photo,3471,3471,0,5221,5221,0,125,78,114,0,0,2753,1612,0,0,95,,2,50,20,7,50,20,15,10,56,19,23,72
Photo,7438,7438,0,12167,12167,0,286,163,248,0,0,4856,2880,0,0,181,,3,132,49,3,140,50,21,85,70,22,135,91
Photo,1956,1956,0,3048,3048,0,81,61,81,1,1,1625,890,0,0,54,,,23,7,,23,7,6,10,48,6,15,60
Link,3975,3975,0,7279,7279,0,128,53,67,0,0,3802,1912,0,0,106,0,3,72,17,5,72,17,35,23,,38,29,
Link,16325,16325,0,28468,28468,0,485,350,442,8,8,19933,11145,0,0,379,0,13,157,39,14,158,41,261,124,,284,158,
Photo,4913,4913,0,7973,7973,0,185,95,135,3,3,5515,3154,0,0,154,,5,100,15,6,101,15,,37,66,,48,87
Link,2484,2484,0,3819,3819,0,47,22,29,1,1,1896,1031,0,0,43,0,2,29,6,2,29,6,15,8,,19,10,
Photo,1655,1655,0,2269,2269,0,11,7,12,0,0,944,525,0,0,11,0,,5,,,5,,,6,1,,11,1
Photo,3094,3094,0,4644,4644,0,117,59,77,0,0,2803,1652,0,0,91,,1,70,10,1,69,14,5,14,39,6,17,54
Link,4150,4150,0,6488,6488,0,107,57,74,3,3,2676,1637,0,0,72,0,1,60,14,1,61,14,41,24,,42,32,
Link,2316,2316,0,3398,3398,0,32,10,13,0,0,1622,937,0,0,29,0,,21,6,,21,7,7,3,,8,5,
Link,3847,3847,0,6320,6320,0,85,29,31,0,0,3711,2088,0,0,72,0,2,52,14,2,51,15,18,11,,18,13,
Link,16531,16531,0,28522,28522,0,420,280,352,3,3,16743,9460,0,0,298,0,16,176,40,18,181,40,171,128,1,185,166,1
Link,20859,20859,0,35377,35377,0,690,464,574,12,12,19662,11061,0,0,533,0,5,275,54,5,279,54,331,161,,358,216,
Link,14282,14282,0,23228,23228,0,459,237,304,10,10,13740,8173,0,0,367,0,8,241,60,8,243,65,132,122,1,146,157,1
Photo,5541,5541,0,9200,9200,0,237,119,168,3,3,4247,2570,0,0,151,,8,135,25,8,139,26,15,53,66,15,71,82
Link,2036,2036,0,2883,2883,0,31,8,11,0,0,1120,682,0,0,25,0,2,19,7,2,20,7,2,6,,3,8,
Photo,3145,3145,0,4512,4512,0,142,92,139,1,1,2761,1661,0,0,112,,4,60,17,5,62,17,32,22,52,35,36,68
Photo,4827,4827,0,8064,8064,0,285,167,230,0,0,5681,3284,0,0,235,,4,140,33,4,144,35,60,54,75,62,72,96
Photo,1900,1900,0,2583,2583,0,94,68,88,1,1,1212,825,0,0,61,,3,27,6,4,27,6,8,6,57,11,8,69
Photo,4032,4032,0,6369,6369,0,242,161,216,6,6,3927,2338,0,0,187,,7,92,28,10,94,32,57,47,76,62,64,90
Link,18396,18396,0,32353,32353,0,726,457,569,5,5,20492,11481,0,0,580,0,6,315,48,7,315,53,317,184,,329,240,
Photo,12512,12512,0,21406,21406,0,588,400,589,3,3,14336,8114,0,0,464,,11,255,62,13,257,63,60,263,125,63,374,152
Photo,2454,2454,0,3733,3733,0,150,103,145,2,2,2239,1335,0,0,116,,4,56,9,5,56,9,22,22,66,22,32,91
Photo,4120,4120,0,6533,6533,0,272,166,249,0,0,3513,2147,0,0,176,,6,122,32,6,126,33,22,60,111,26,86,137
Photo,1890,1890,0,2745,2745,0,101,77,99,2,2,1461,904,0,0,73,,2,29,5,2,30,5,14,7,59,16,7,76
Photo,2152,2152,0,3237,3237,0,129,92,125,0,0,1795,1071,0,0,94,,1,37,11,1,38,11,13,20,70,15,26,84
Photo,3893,3893,0,5562,5562,0,186,120,184,1,1,2739,1737,0,0,153,,6,83,18,11,84,21,28,46,66,31,70,83
Photo,4487,4487,0,6373,6373,0,143,88,112,0,0,2791,1691,0,0,106,,1,57,17,2,56,18,21,17,61,23,20,69
Photo,6396,6396,0,10242,10242,0,293,146,199,1,1,6243,3418,0,0,244,,3,163,39,3,161,39,25,70,67,28,92,79
Photo,4578,4578,0,6038,6038,0,136,88,125,1,1,2322,1218,0,0,95,,4,51,16,18,50,16,9,20,65,11,32,82
Photo,4597,4597,0,6478,6478,0,155,84,117,1,1,3270,1760,0,0,119,,1,73,17,1,73,17,20,17,53,25,23,69
